ID	bowtie_weighted	bowtie	ratio
s596	0	0	0
ECM33	Target	Target	Target
FIG4	Target	Target	Target
s7103	0	0	0
s7101	0	0	0
HEM3	Target	Target	Target
PER33	Target	Target	Target
REB1	Target	Target	Target
UME6	Target	Target	Target
BUB3	Target	Target	Target
UBP6	Target	Target	Target
RTN2	Target	Target	Target
GSY2	Target	Target	Target
s8402	0	0	0
s6456	0.0	0.0	0
s6455	0.0	0.0	0
s6454	0	0	0
s8406	0	0	0
s6452	0	0	0
s6451	0	0	0
TPS1	Target	Target	Target
TEF2	Target	Target	Target
s6288	0	0	0
s6289	0	0	0
MTL1	Target	Target	Target
s6282	0	0	0
s6283	0	0	0
s6280	0	0	0
s6286	0	0	0
s6287	0	0	0
s6284	0	0	0
s6285	0	0	0
ARN1	Target	Target	Target
TRP4	Target	Target	Target
RDH54	Target	Target	Target
ASF1	Target	Target	Target
s8534	0	0	0
s8533	0.0	0.0	0
s8531	0	0	0
TOS2	Target	Target	Target
TFC3	Target	Target	Target
s6529	0	0	0
s6528	0	0	0
SRD1	Target	Target	Target
s6919	0	0	0
s6527	0	0	0
s6526	0	0	0
s6525	0	0	0
s6524	0	0	0
s39	-0.000700463157895	0.0175438596491	-0.0399264
MSS51	Target	Target	Target
s35	0	0	0
ERG8	Target	Target	Target
CKS1	Target	Target	Target
YKT6	Target	Target	Target
s32	-0.00739348070175	0.0385964912281	-0.191558363636
KDX1	Target	Target	Target
GCN1	Target	Target	Target
RPA135	Target	Target	Target
MAS1	Target	Target	Target
s8719	0	0	0
EDC2	Target	Target	Target
s579	0	0	0
s578	0	0	0
ELO1	Target	Target	Target
s575	0	0	0
s574	0	0	0
s577	0	0	0
GCD1	Target	Target	Target
s571	0	0	0
s573	0	0	0
s572	0	0	0
s7087	0	0	0
s7086	0	0	0
s7085	0	0	0
s7082	0	0	0
RAD51	Target	Target	Target
HSP31	Target	Target	Target
s7088	0	0	0
GLY1	Target	Target	Target
RPA14	Target	Target	Target
CIT2	Target	Target	Target
LRP1	Target	Target	Target
HHT1	Target	Target	Target
PHO88	Target	Target	Target
HHT2	Target	Target	Target
SHH4	Target	Target	Target
PRP46	Target	Target	Target
RGL1	Target	Target	Target
CMD1	Target	Target	Target
SKI6	Target	Target	Target
LYS20	Target	Target	Target
CDC53	Target	Target	Target
AMD1	Target	Target	Target
SKG6	Target	Target	Target
FAS1	Target	Target	Target
SLM5	Target	Target	Target
LSM4	Target	Target	Target
FCF1	Target	Target	Target
HYP2	Target	Target	Target
COQ6	Target	Target	Target
SAM35	Target	Target	Target
s6244	0	0	0
CCS1	Target	Target	Target
CYR1	Target	Target	Target
ERG13	Target	Target	Target
PRE1	Target	Target	Target
ERG11	Target	Target	Target
TDH3	Target	Target	Target
ABF2	Target	Target	Target
MNN10	Target	Target	Target
ACC1	Target	Target	Target
TIP41	Target	Target	Target
PIL1	Target	Target	Target
s6887	0	0	0
s6888	0	0	0
s147	0	0	0
HTA1	Target	Target	Target
EMI1	Target	Target	Target
s7566	0	0	0
s7567	0	0	0
HXK2	Target	Target	Target
s8472	0	0	0
s6406	0	0	0
s6407	0	0	0
s6569	0	0	0
s6568	0	0	0
s6567	0	0	0
s6564	0	0	0
s6563	0	0	0
s6409	0	0	0
COX20	Target	Target	Target
s6819	0	0	0
s6818	0	0	0
s6817	0	0	0
s6816	0	0	0
s6585	0.0	0.0	0
CYM1	Target	Target	Target
s6586	0.0	0.0	0
s6581	0.0	0.0	0
s6580	0	0	0
s6583	0.0	0.0	0
s6582	0	0	0
PEX28	Target	Target	Target
IDH2	Target	Target	Target
IDH1	Target	Target	Target
s2230	0	0	0
s6589	0	0	0
s6588	0	0	0
s2235	0	0	0
s8619	0	0	0
s8618	0	0	0
s8617	0	0	0
s8616	0	0	0
s8615	0	0	0
s8614	0	0	0
s8613	0	0	0
s8612	0	0	0
s8611	0	0	0
s8610	0	0	0
GEA2	Target	Target	Target
s7942	0	0	0
VPS36	Target	Target	Target
MTF1	Target	Target	Target
RSM7	Target	Target	Target
DDI3	Target	Target	Target
SSD1	Target	Target	Target
FRS2	Target	Target	Target
s8041	0	0	0
SAP4	Target	Target	Target
MCH4	Target	Target	Target
SNA2	Target	Target	Target
s8769	0.0	0.0	0
s8768	0.0	0.0	0
DOT6	Target	Target	Target
s8762	0	0	0
s8761	0.141844063158	0.578947368421	0.245003381818
CDC19	Target	Target	Target
s8767	0	0	0
s8766	0	0	0
s6614	0	0	0
s6611	0	0	0
s6610	0	0	0
s6612	0	0	0
s71	0	0	0
s70	0	0	0
s75	0.0	0.0	0
s74	0	0	0
s77	0	0	0
s76	0	0	0
TRX2	Target	Target	Target
s8481	0	0	0
OLE1	Target	Target	Target
GID8	Target	Target	Target
YAR1	Target	Target	Target
s91	0	0	0
s90	0	0	0
ATG15	Target	Target	Target
RQC1	Target	Target	Target
s7946	0	0	0
MRPL4	Target	Target	Target
s7131	0.0	0.0	0
s7130	0.0	0.0	0
s7136	0	0	0
CTA1	Target	Target	Target
GSH1	Target	Target	Target
NOT5	Target	Target	Target
PMP3	Target	Target	Target
s135	0	0	0
s136	0	0	0
s8433	0	0	0
PRE8	Target	Target	Target
PRE5	Target	Target	Target
PRE4	Target	Target	Target
PRE6	Target	Target	Target
s7524	0	0	0
s7525	0	0	0
PRE3	Target	Target	Target
DEF1	Target	Target	Target
s8389	0	0	0
s8388	0	0	0
RNY1	Target	Target	Target
s8385	0	0	0
s8384	0	0	0
s8387	0	0	0
s6443	0	0	0
s8381	0	0	0
s8380	0	0	0
s6446	0	0	0
s8382	0	0	0
s4023	0	0	0
CIT1	Target	Target	Target
FTH1	Target	Target	Target
AGA1	Target	Target	Target
s8383	0	0	0
APA1	Target	Target	Target
s6534	0	0	0
s8502	0	0	0
s6536	0	0	0
s6537	0	0	0
s6530	0	0	0
s8506	0	0	0
s8505	0	0	0
s6533	0	0	0
NMA1	Target	Target	Target
s8509	0	0	0
s8508	0	0	0
s6538	0	0	0
s6539	0	0	0
s7001	0	0	0
RTK1	Target	Target	Target
s6438	0	0	0
s6433	0	0	0
s6432	0	0	0
SSE1	Target	Target	Target
s8529	0	0	0
TYE7	Target	Target	Target
s8528	0	0	0
s8729	0.0	0.0	0
s8728	0.0	0.0	0
PIN3	Target	Target	Target
s8726	0.0	0.0	0
POG1	Target	Target	Target
s8722	0.0	0.0	0
s8721	0	0	0
s8720	0	0	0
s467	0	0	0
HSP104	Target	Target	Target
s465	0	0	0
s468	0	0	0
s7091	0	0	0
s7092	-0.00739348070175	0.0385964912281	-0.191558363636
s7093	0	0	0
s7094	0	0	0
s7099	0	0	0
YHK8	Target	Target	Target
MCM7	Target	Target	Target
MCM2	Target	Target	Target
s8451	0	0	0
SUR1	Target	Target	Target
s8450	0	0	0
s8038	0	0	0
s7170	0	0	0
s22	0	0	0
s23	0	0	0
s20	0	0	0
s21	0	0	0
s26	0	0	0
s24	0	0	0
s25	0	0	0
s29	0	0	0
COQ2	Target	Target	Target
ERV14	Target	Target	Target
s8510	0	0	0
s8511	0	0	0
STL1	Target	Target	Target
MDS3	Target	Target	Target
UGP1	Target	Target	Target
ENV11	Target	Target	Target
MSR1	Target	Target	Target
s6278	0	0	0
s6272	0	0	0
s6271	0	0	0
s6270	0.0	0.0	0
s6277	0	0	0
s6276	0	0	0
s6275	0.0318126105263	0.147368421053	0.215871285714
STI1	Target	Target	Target
ERG28	Target	Target	Target
SOD2	Target	Target	Target
s1466	0	0	0
SOD1	Target	Target	Target
s1469	0	0	0
s1468	0	0	0
s8547	0	0	0
s8546	0	0	0
s8545	0	0	0
s8543	0.0	0.0	0
PUN1	Target	Target	Target
s6838	0.0	0.0	0
MSS1	Target	Target	Target
GPN2	Target	Target	Target
s8549	0	0	0
s8548	0	0	0
s6578	0	0	0
s6579	0	0	0
s8464	0	0	0
s8460	0	0	0
s8461	0	0	0
s6576	0.0	0.0	0
s6577	0	0	0
PET122	Target	Target	Target
HSP10	Target	Target	Target
XRN1	Target	Target	Target
s5014	0	0	0
PRE9	Target	Target	Target
CTR1	Target	Target	Target
s6596	0	0	0
s6597	0	0	0
s6594	0	0	0
s6595	0	0	0
s6592	0	0	0
s6593	0	0	0
s6590	0	0	0
s6591	0	0	0
SSA1	Target	Target	Target
SSA2	Target	Target	Target
RPL3	Target	Target	Target
s6598	0	0	0
s6575	0	0	0
s8608	0	0	0
s8609	0	0	0
s8462	0	0	0
s8600	0	0	0
s8601	0	0	0
s6983	0	0	0
s6982	0	0	0
s8605	0	0	0
s8606	0	0	0
s8607	0	0	0
MUP1	Target	Target	Target
s139	0	0	0
DIP5	Target	Target	Target
RHO5	Target	Target	Target
s138	0	0	0
GSP1	Target	Target	Target
s6509	0	0	0
s6504	0.117408217544	0.480701754386	0.244243372263
URA1	Target	Target	Target
SGT2	Target	Target	Target
s6502	0	0	0
s19	0	0	0
MRPL15	Target	Target	Target
CDC39	Target	Target	Target
UBI4	Target	Target	Target
s2090	0	0	0
s16	0	0	0
s14	0.0	0.0	0
s8774	0	0	0
s8775	0.0	0.0	0
s8776	0.141844063158	0.578947368421	0.245003381818
s8777	0	0	0
s8770	0.0	0.0	0
s8771	0.0	0.0	0
s8772	0	0	0
s8773	0	0	0
s8778	0	0	0
s8630	0	0	0
CDC26	Target	Target	Target
HAC1	Target	Target	Target
REG1	Target	Target	Target
DOA4	Target	Target	Target
s6604	0	0	0
s6605	0	0	0
s6602	0	0	0
s6603	0	0	0
s6600	0	0	0
s69	0	0	0
BUD31	Target	Target	Target
s67	0	0	0
s64	0	0	0
SIS1	Target	Target	Target
s63	0	0	0
EFB1	Target	Target	Target
s61	0	0	0
TFS1	Target	Target	Target
s8386	0	0	0
MDM34	Target	Target	Target
MSN4	Target	Target	Target
GSF2	Target	Target	Target
ILM1	Target	Target	Target
s82	0	0	0
s83	0	0	0
s84	0	0	0
s85	0	0	0
s86	0.0	0.0	0
PMA1	Target	Target	Target
s89	0	0	0
s6447	0	0	0
MET30	Target	Target	Target
s6231	0	0	0
s6230	0	0	0
RPB4	Target	Target	Target
KRE6	Target	Target	Target
MRPS35	Target	Target	Target
RPB8	Target	Target	Target
SLA1	Target	Target	Target
s8789	-0.00739348070175	0.0385964912281	-0.191558363636
s8788	0	0	0
LOC1	Target	Target	Target
s7128	0.0	0.0	0
s7129	0	0	0
s7125	0	0	0
s7126	0	0	0
s7127	0	0	0
CSM1	Target	Target	Target
s8787	0	0	0
