ID	bowtie
s6557	0
s6554	0
s6555	0
MYO2	Target
s6558	0
CWP1	Target
s8449	0
MOT1	Target
RIP1	Target
SCL1	Target
HCH1	Target
s6413	0
s6412	0
s6411	0.139124658604
s6410	0
CTT1	Target
s6415	0
s6414	0
YDJ1	Target
SSC1	Target
PEX34	Target
RPN4	Target
RPN5	Target
RPN6	Target
RPN7	Target
PUP1	Target
RPN9	Target
PUP3	Target
PUP2	Target
s8623	0
s8620	0
s8626	0
s8627	0
s8624	0
s8625	0
s8628	0
s8629	0
MDJ1	Target
APJ1	Target
AEP3	Target
s7079	0
s7074	0
s7075	0.0115492234236
CLB5	Target
ERO1	Target
RIB1	Target
DOM34	Target
REE1	Target
s8758	0
s8759	0
s8755	0
s8752	0
s8753	0
s8750	0
SPT8	Target
s41	0
s7168	0
s49	0.00875318790553
BSC1	Target
HAS1	Target
s8499	0
s8498	0
LCB1	Target
AIM26	Target
s6217	0
s6219	0
s6218	0
AIM29	Target
s596	0
ECM33	Target
FIG4	Target
s7103	0
s7101	0
HEM3	Target
PER33	Target
REB1	Target
UME6	Target
BUB3	Target
UBP6	Target
RTN2	Target
GSY2	Target
s8402	0
s6456	0.0226754979302
s6455	0.0226754979302
s6454	0
s8406	0
s6452	0
s6451	0
TPS1	Target
TEF2	Target
s6288	0
s6289	0
MTL1	Target
s6282	0
s6283	0
s6280	0
s6286	0
s6287	0
s6284	0
s6285	0
ARN1	Target
TRP4	Target
RDH54	Target
ASF1	Target
s8534	0
s8533	0.0128983128914
s8531	0
TOS2	Target
TFC3	Target
s6529	0
s6528	0
SRD1	Target
s6919	0
s6527	0
s6526	0
s6525	0
s6524	0
s39	0.0365978079549
MSS51	Target
s35	0
ERG8	Target
CKS1	Target
YKT6	Target
s32	0.0453509958604
KDX1	Target
GCN1	Target
RPA135	Target
MAS1	Target
s8719	0
EDC2	Target
s579	0
s578	0
ELO1	Target
s575	0
s574	0
s577	0
GCD1	Target
s571	0
s573	0
s572	0
s7087	0
s7086	0
s7085	0
s7082	0
RAD51	Target
HSP31	Target
s7088	0.0226754979302
GLY1	Target
RPA14	Target
CIT2	Target
LRP1	Target
HHT1	Target
PHO88	Target
HHT2	Target
SHH4	Target
PRP46	Target
RGL1	Target
CMD1	Target
SKI6	Target
LYS20	Target
CDC53	Target
AMD1	Target
SKG6	Target
FAS1	Target
SLM5	Target
LSM4	Target
FCF1	Target
HYP2	Target
COQ6	Target
SAM35	Target
s6244	0
CCS1	Target
CYR1	Target
ERG13	Target
PRE1	Target
ERG11	Target
TDH3	Target
ABF2	Target
MNN10	Target
ACC1	Target
TIP41	Target
PIL1	Target
s6887	0
s6888	0
s147	0
HTA1	Target
EMI1	Target
s7566	0
s7567	0
HXK2	Target
s8472	0
s6406	0
s6407	0
s6569	0
s6568	0
s6567	0
s6564	0
s6563	0
s6409	0
COX20	Target
s6819	0
s6818	0
s6817	0
s6816	0
s6585	0.471549890358
CYM1	Target
s6586	0.471549890358
s6581	0.00644915644571
s6580	0
s6583	0.389559900748
s6582	0
PEX28	Target
IDH2	Target
IDH1	Target
s2230	0
s6589	0
s6588	0
s2235	0
s8619	0
s8618	0
s8617	0
s8616	0
s8615	0
s8614	0
s8613	0
s8612	0
s8611	0
s8610	0
GEA2	Target
s7942	0
VPS36	Target
MTF1	Target
RSM7	Target
DDI3	Target
SSD1	Target
FRS2	Target
s8041	0.221972806184
SAP4	Target
MCH4	Target
SNA2	Target
s8769	0.00566887448255
s8768	0.00566887448255
DOT6	Target
s8762	0
s8761	0.943099780716
CDC19	Target
s8767	0
s8766	0
s6614	0
s6611	0
s6610	0
s6612	0
s71	0
s70	0
s75	0.0175063758111
s74	0
s77	0
s76	0
TRX2	Target
s8481	0
OLE1	Target
GID8	Target
YAR1	Target
s91	0
s90	0
ATG15	Target
RQC1	Target
s7946	0
MRPL4	Target
s7131	0.0113377489651
s7130	0.0113377489651
s7136	0
CTA1	Target
GSH1	Target
NOT5	Target
PMP3	Target
s135	0
s136	0
s8433	0
PRE8	Target
PRE5	Target
PRE4	Target
PRE6	Target
s7524	0.707324835537
s7525	0
PRE3	Target
DEF1	Target
s8389	0
