gene	logFC
MDM10	0.751464
SKN1	0.677732
SHY1	1.262916
HAP1	0.794268
ENO2	-0.833676
SGN1	0.379622
NOP6	-2.49732
HIM1	1.182484
SNM1	-1.12731
INP52	1.02765
AMF1	0.42994
GSY1	5.095812
RPS10B	-1.643322
RIF2	-0.03989
GPI18	-0.454514
FMP48	7.045764
COS5	0.5096
HEM4	0.534236
DUO1	-0.528896
SRP72	-0.351
YVC1	0.54145
ADE5,7	-1.38755
PYK2	2.53564
ASR1	-0.417206
MYO4	-0.35408
HPF1	-1.026472
ARO80	1.17391
TFG1	0.147684
DPL1	-0.18579
YCK1	-0.435138
RPS6B	-1.94904
BUD21	-1.643398
PUS7	-2.162326
PAH1	0.170902
CIT2	1.325032
YRF1-3	-0.4397
SEC8	1.00093
SNL1	-0.855564
RAD5	0.334016
RRT7	-1.440168
MCM16	0.293334
RPL19B	-1.77519
MAM3	1.049078
CSL4	-0.783978
RXT3	1.017234
TRM1	-2.63012
BSC3	-0.1248
SOP4	-0.434624
OSW2	0.934852
RLP24	-2.925706
AIM7	0.217158
TFB6	1.33714
KEL2	0.572588
ATG17	1.523286
SEN2	-0.142622
RPM2	1.71641
CTF8	-0.683844
SNU23	0.712632
RPS16A	-1.761638
BUD31	-1.505878
SRP1	-0.311406
POF1	1.33225
NAB2	-0.451808
ERP3	0.07952
GPH1	3.678356
YEL1	0.385634
GAL10	0.89191
TMA19	-1.650382
CDC8	-0.295318
STE3	0.918904
FBP1	0.472174
KIP1	0.010218
ECM1	-2.771434
SIS1	1.28762
PPT2	0.600478
MET5	-0.57848
NCB2	-1.338126
MAC1	0.300932
LSM6	-0.80984
PIN2	-0.406626
CDC4	0.315738
ADR1	2.476842
QDR1	0.299134
RKM3	-0.704712
HDA1	-0.010682
RRP46	-1.1402
FUS1	0.957846
SNR3	-0.157876
SNR5	-0.296758
SNR4	-0.538606
SNR6	-0.205428
SNR9	-0.185118
SNR8	-0.783626
YHI9	0.250704
POP5	-1.052142
MRPS12	-0.194366
MSO1	0.764412
NUP42	0.37623
MSB4	-0.536386
ATG34	2.092882
NRD1	0.535304
SLM6	0.112356
UTP20	-2.581642
ARL1	0.189696
QNS1	0.247966
SPP41	-0.347092
MET10	-0.176642
CCZ1	0.547156
DHR2	-2.91971
KTR6	-0.309844
NIT3	-0.068354
SSM4	-0.227148
RSP5	0.007634
BRE2	-0.946886
COX23	0.296288
APM1	0.544404
PKH2	1.318236
BFR1	-0.701236
CKB2	-0.27583
BSC1	-2.741728
SIR3	0.041822
ECM34	0.149544
PHR1	1.72049
SWH1	-0.185518
SGE1	0.454506
CBP2	0.295866
SNX41	1.315104
WAR1	0.622418
UTP30	-1.655204
ARG5,6	-0.505062
NPL6	-0.34481
PRE1	-0.008474
SFB3	-0.630934
RDI1	-0.1466
CDC39	-0.006464
TAT1	-1.285368
PEX8	0.177762
PAU3	0.420848
EMI1	0.820954
COQ6	1.098354
EMT4	-0.85176
LHP1	-1.92307
SFT2	0.05557
IMT2	-0.726076
YPS1	1.514008
FKH2	-0.857182
HTB2	-0.611378
SWI5	-0.463776
CYC8	-0.373794
PFA3	0.330586
MRPS28	-0.131272
NUP82	-0.062348
APT2	-1.765276
SEC62	-1.119608
RAS1	-2.465464
COX20	1.475576
MDV1	0.504082
SML1	-0.296248
NRT1	0.10497
CDC11	-0.1255
APE2	0.065628
COQ1	0.829606
ARG8	-0.929542
SCD6	-0.213354
ATG20	1.57369
GID8	1.36507
BRP1	0.407222
AEP3	1.105958
ENP1	-2.99571
RPL37A	-1.730232
PEX2	0.346858
SKI2	0.187648
IMP2'	0.360314
XBP1	4.449344
TRT2	1.139402
AUR1	-1.74254
PTP2	0.862638
PEP4	1.459976
ELP4	-0.769816
GSY2	4.6976
FMO1	0.76301
THI13	-0.115854
YFT2	-0.082526
YJU2	0.68272
LYS12	-1.112918
LEU3	-0.378122
IGD1	4.00608
SEC28	-0.106914
PEX15	0.450742
CWC24	-0.474048
OST3	-0.842616
NPY1	-0.042832
TCB2	-1.44801
EST2	0.138122
DPB3	0.078594
KSH1	-0.68468
MHR1	-0.152816
TAN1	-0.344534
NVJ2	0.556566
VPS62	0.460584
HXT16	0.43657
ARO9	4.387152
GDT1	-1.376216
CIK1	0.587656
MRPL32	-0.090966
INP2	0.215268
PAU12	0.055368
SUV3	-0.323912
GAL1	0.85358
CDC73	0.153278
IRC2	0.20172
PCL6	0.823022
RAD53	0.279282
RRN10	0.14151
RIB2	0.607606
SWF1	0.318572
PMR1	0.106922
DSC3	1.290242
GEA2	-0.140128
GPP1	0.667154
BRE1	-0.397532
RPS22A	-2.118774
TRS130	0.111494
IST1	0.92919
ELA1	0.10155
LDB18	0.147022
FLO5	0.127418
MRP2	-0.44073
COA6	-0.056552
RPL18B	-1.849634
FET3	-0.358168
SNF2	0.062568
APN1	-0.247662
RPS17A	-1.776334
UTP14	-2.490324
RIX1	-2.34805
PMP3	-0.400738
YKE2	-0.808796
OSH6	0.774936
REX3	1.086156
TMT1	1.07933
APL2	0.553658
AI5_BETA	-0.388374
SHH3	0.117458
SEF1	0.17059
RMD9	0.147292
EFG1	-2.356418
STB3	0.897856
SCS7	0.762432
RPN7	0.489308
DEF1	-0.424584
TIF4631	-2.017966
CDC36	-0.25519
PST2	1.004456
OSM1	-0.532396
IDP3	0.896992
PIR1	-0.666134
MCM22	-0.440282
SKI8	-0.028442
PDS5	-0.63337
TDA10	1.660062
CRZ1	0.311004
GCD7	-1.027118
POG1	-0.024028
PTP1	1.452576
RSM7	-0.21724
MPS2	0.398132
SRB2	-0.71019
ASK10	-0.700378
SEC6	0.437862
AGP1	-0.03544
SOL1	2.804844
POP3	-1.358416
APE3	-0.133036
ROG1	0.049238
RVB1	-0.849586
GIP4	1.04629
LDB7	-0.05367
CLB1	-1.034374
YPT10	0.294076
SWC5	0.522536
TRN1	-0.957162
RRT15	0
SUF9	-0.934698
SUF8	-0.867674
TYR1	0.396026
MRPL28	0.484074
RPA34	-2.488492
RGI2	1.210034
LGE1	-0.03318
BUD8	-0.207254
RPL40A	-1.53215
ACC1	-0.99336
SUP7	0.353448
CDC26	-0.4073
BZZ1	0.328488
KXD1	-0.663812
SPI1	5.345994
PRM1	1.789654
URH1	-0.238304
MDM38	-0.449514
VPS30	0.69549
CTR9	-0.028662
CHS6	0.659842
SKG6	-1.902678
SHR5	-0.424352
MAF1	0.488496
GLC8	1.11742
URA7	-2.7518
BUB1	-0.853762
PRE10	0.376832
ISR1	0.068916
PBP4	-0.206104
FPR3	-0.890846
TFA2	0.166934
CUS2	-0.289554
MTG1	0.765572
SRF1	0.610408
RPD3	0.140044
HXT5	6.155288
GPR1	0.735888
CDC31	-0.230176
SWC4	0.678354
PRP38	0.413832
PUP2	0.028352
SMT3	-0.414222
MNN9	-0.739714
MME1	-0.112022
BI3	-0.232492
THP3	0.679642
BI2	-0.272312
FAS2	-0.84111
PEP3	0.445458
PSO2	1.005056
RPL13A	-1.982818
RSM22	0.414722
YSY6	-0.740696
KGD2	0.478206
PNG1	0.67475
MSN5	0.516972
KAR3	0.136612
SUB1	1.162886
HXT7	1.859222
SSN2	0.604156
OCA4	0.207344
SOF1	-1.613652
PAT1	-0.60568
DIF1	-0.536834
DUG3	-0.858106
MRPL7	-0.095948
GZF3	0.244426
NAP1	-0.590956
NTH2	2.069594
ULA1	1.983236
SLD2	0.084538
CLD1	3.20734
MOG1	0.18237
NOP14	-2.310426
CYS3	-0.79819
HSH155	-0.457392
UBP7	0.073672
RPL14A	-1.95568
PRM4	0.09947
PDR5	-0.104694
SKG3	0.385786
BMH2	0.323138
PXA2	1.32635
NMD3	-2.250056
YAP6	0.982898
NUP100	-1.00295
HMS1	0.54868
MBR1	2.938002
MIX17	0.710938
RMP1	-0.131494
VPS63	0.269662
SOR2	0.58118
SER3	0.415324
CBC2	-0.158798
BMT5	-2.633168
MIC19	-0.19247
SER33	-0.334472
XRN1	-0.434038
NBP1	0.312218
MPA43	-0.283852
RSC1	0.056496
ALG2	0.061294
TMC1	1.8731
ATP4	0.248802
SPT6	-0.518006
SUF20	0.133226
MBA1	0.121532
GCV1	0.60722
TBS1	0.966956
AVT6	1.113772
HLJ1	0.049902
LCD1	0.362044
ITS1-1	-1.146898
ROX3	-0.280658
NTS1-2	1.609656
SNO4	0.375314
MMP1	-1.816124
FOB1	-0.753408
RAD30	0.547018
MCT1	0.903076
THI6	0.391172
PAU9	0.84509
MET22	-0.607498
MCM2	-0.348958
MOD5	-0.803512
SCD5	0.62449
SSL1	0.472848
PIK1	-0.155518
TIM17	-0.852656
PAU4	-0.25559
MCK1	-0.473382
OCA6	0.100636
AAC1	0.90532
GYP6	0.123362
MMS1	0.040654
PRB1	2.166134
NVJ1	1.290624
RPS18B	-2.021964
UBA3	0.222844
SNF11	-0.101242
IVY1	0.622066
INH1	3.061996
POA1	-0.11032
BMH1	0.033552
GSF2	-0.186002
PRX1	3.587604
STP2	0.555764
MCH2	0.018978
SCS3	-0.107508
RPS31	-1.645628
RRN9	-0.152158
GSP1	-1.513744
ECM22	-0.420882
BFA1	-0.225956
PHO85	0.419338
MAK11	-1.425928
NRP1	-2.178908
RPS29A	-2.200296
VID22	0.180828
RAD26	1.014134
DYN1	-0.223574
LYS1	0.602854
PDR1	0.622818
RFC2	-0.551344
CIR1	0.517756
TCP1	-1.108062
COX5A	0.239918
SSN8	0.731856
PRP31	-0.012364
OST4	-0.64492
DBP1	2.084642
ARV1	-0.031552
BAT2	-0.881012
ICY1	1.628666
DUF1	1.455626
RRT6	1.850258
MIC12	-0.301282
RPO41	0.03851
XPT1	-0.612192
MMF1	-1.08281
SUR1	1.087356
