gene	logFC	pvalue
COS7	0.530245368783581	0.667117558734958
MPH2	0.00271035273782681	0.998628091865025
SOR2	2.15586312147088	0.183623388545789
HXT15	0.916638300452175	0.512894099872139
THI13	2.09732995396345	0.153309007380615
AAD4	1.187048769545	0.343623134756414
LRG1	-1.1901175784041	0.334278530868859
ADY3	1.35293509408033	0.280096284654839
GUD1	2.17678013199279	0.100006992519759
AIM6	0.437083662438262	0.713311208166242
PHO13	-1.16897888901484	0.340933179785531
YPD1	-0.645625774294549	0.592199951293203
GYP7	1.18349395476103	0.332870290481612
MFG1	0.883123642503976	0.46864515203779
OST4	-0.0552539225943932	0.963017861724183
BRE4	-0.612530495140368	0.608963328183523
PTP1	0.62367406995874	0.607718012393219
SSB1	-4.35221517084426	0.00282561204739181
HO	-2.77085570449852	0.0419710416242083
GCS1	-0.91607808315721	0.44888056874469
SHS1	-0.445682275663865	0.708082822465637
WHI4	-0.29542750704435	0.803327161001854
HBT1	1.21740873265417	0.324085599093753
FMP45	4.29297995227355	0.0032656140246753
CDC13	0.301390841254508	0.805136234477002
DTD1	-0.618875657488409	0.610156986248918
TIM22	-0.735961946283176	0.543965252755872
RRI1	0.373545275541433	0.759536444311105
GDH2	0.503672017739813	0.67215210683915
PRR2	2.60938472502091	0.0541968873450008
NOP6	-3.24058677202784	0.019738019287447
SHR3	-1.68062582977351	0.183586341022907
UGA4	0.436734510511006	0.741288019235494
CWC2	-2.03770896775461	0.122786179820221
NHP2	-3.75534611825932	0.00824512896732284
GLE1	-0.742793530219036	0.537991147254655
HEM3	-1.69423707632894	0.181066801094188
RTN2	2.83854281401023	0.0363193564460564
ACK1	-0.449077625344758	0.708989054368793
MRPL11	-0.926292860727163	0.451156481956399
TRM8	-2.03979292701281	0.115794039049698
MGT1	-0.23826312879011	0.848571263666291
GGC1	-0.531421525369525	0.657278441627211
ASF2	1.80207104162579	0.156524574082611
SEC31	0.565048703703338	0.634015546844113
SNF3	-0.00339039665760583	0.997733176692975
NUS1	1.56339835698206	0.211594329297655
ARF1	-1.23686037444954	0.312454955301662
RPL35A	-1.59460147871665	0.202369138932069
UFD2	0.339465878596232	0.774445187188906
RBS1	-0.908777044429036	0.454223251321789
PPH22	-0.572153910099534	0.632409919782956
VMA1	0.0114561846342778	0.992217565190412
RPL41A	0.0766962434983276	0.947947984317103
LYS20	-2.54824985557918	0.0564787859382552
INH1	1.1722876232747	0.340000355297036
PCL9	-1.27529293586073	0.307011893589235
DLD2	-0.351533286575817	0.767926596351968
AIR2	0.238605133796143	0.842849332692624
DLD1	0.718748892549229	0.54883408940568
PAR32	0.887124753247019	0.464042119651744
GLT1	-0.0655207373544525	0.955653585437524
UGA3	1.03535170882096	0.397852655273301
UGX2	2.27925672630835	0.0988961182431442
SFA1	-0.083348854556153	0.943868217577388
NRP1	-3.29336101362871	0.0181413729395744
FAP7	-1.91718449158176	0.13952407837384
CDC36	-0.928148725174923	0.450754645732105
CDC9	-0.0555062733811732	0.962674927926291
ENT1	0.0442362923875233	0.970099599706256
MHF2	-0.893212826775178	0.48153959146068
DHH1	0.331354572393249	0.779368998388833
STE7	0.4047638422426	0.737924047642178
CMR1	0.228127639997262	0.851418860023337
CLB3	-0.290667290360312	0.807302217710919
MSH5	0.952151793841442	0.440335225390241
SAS10	-3.11628892929986	0.0234545827086455
BUD30	-0.365357069000201	0.820953773568992
RPC53	-3.31040321598921	0.018701809929103
ATG9	0.833776774697208	0.496109250131034
NOP14	-4.22865407441036	0.003639061192061
RPN5	0.210039424502328	0.858492200728056
LDB17	1.2489680873641	0.312428863648403
COP1	-1.04474975205702	0.388811101890333
CCT4	-1.26218347227867	0.303850580601841
CRD1	0.78464490857595	0.520253920820911
BPL1	-0.159730818365925	0.893024040698685
RPO21	0.0882047924859773	0.940201859713118
SCM3	0.0638538312333794	0.959068637711924
RGT2	1.03613498111668	0.39754295138379
ARF2	-1.02958294617012	0.396384088402163
RPL35B	-2.18519029629731	0.0926817154406558
RDI1	-0.0326971480661403	0.977974620829671
PPH21	-0.636099764457077	0.595324938100793
RPL41B	0.179560626167468	0.87879501420333
SRF1	0.290796460786974	0.807221792602653
CDC53	-0.351038655205311	0.767029108662754
LYS21	-1.65508077080077	0.190393495925972
STF1	2.74717131785809	0.0417419476888523
RPP1B	-2.71847719611616	0.0427710461338709
VCX1	-0.992797656350222	0.412705129887605
PCL2	-1.36270925885439	0.281745231862518
CDC48	0.243322305740664	0.836180560052798
HNT1	0.642070936560247	0.589938356780471
SNA4	0.674092610832172	0.574994099081327
UBP1	-1.44748525069015	0.24451738529826
YFH1	-0.63344146821992	0.600757370454761
CYK3	-1.43950543362434	0.250716355734302
NUP84	-0.799765643890201	0.507135623637802
IWR1	0.864502920426999	0.476228873874966
ATG20	1.0024842257421	0.410184152648946
TRM3	-3.11047324826986	0.0238901808717659
RRP42	-0.787234070221812	0.513934951022011
TMA17	2.19779489903411	0.0924234639255494
KIN28	-0.135490448254131	0.910193247750939
MSS2	0.469603067510049	0.701665291304675
PHO2	0.664564710269473	0.581795637384973
NSE4	0.178368116062892	0.884173898496063
QRI7	-0.0492361374565114	0.968438542624997
QRI1	-0.287281611187906	0.809158635625843
POL3	-0.809888038885738	0.504592855824624
DUN1	0.952188081637752	0.436011905697347
GET3	-0.128743547942783	0.912912656557909
BUG1	-0.0770069147836257	0.948077346578661
SNU23	0.333812431955317	0.784744562933794
RPN6	-0.014226244831049	0.990353449788417
OPI6	1.24951237290476	0.44054780357058
PMT1	-0.0425326252001457	0.971163837768236
PMT5	0.140540946368223	0.90565659027292
SRP14	-0.586515245406821	0.624779901227405
UBX3	0.638106884155693	0.597181502749606
RAM1	0.362232843424711	0.763582599260814
NUR1	0.449687751877974	0.707696178657838
ASM4	0.110493402305298	0.92571082919851
LUC7	0.64403158218442	0.601274984334089
NDE2	2.83612597467047	0.0393355896720866
SUB2	-1.32644610260158	0.281153551978959
RPS16B	-3.27781890891595	0.0178676032321315
RPL13A	-3.53514809298444	0.0117669053787508
RPP1A	-1.72745583295391	0.170731357004214
THI3	-0.138805318732163	0.907070783725185
MRK1	0.836131106151881	0.493262968093396
MDH3	-0.479851404164148	0.686654048705295
VAM6	0.644665970160228	0.591627336895653
RXT3	0.130120347543942	0.913115788464953
RPL31A	-1.89978840025682	0.136120097120243
SNR63	-0.426079188404039	0.728155504651922
BRE1	-0.784165250378885	0.514432014745613
YET3	0.720249397266887	0.546990402691293
BDF2	1.1671751666778	0.338435846147277
CBS1	0.0188579554571847	0.988150228444449
COX9	0.118901767414352	0.920106843444712
IDP1	-0.935356782021025	0.439727410018197
PEX19	0.13743858032868	0.907880710579534
UBC9	-0.968607210871614	0.428112210839769
SYO1	-4.47202178004466	0.00247213792159669
RPS29B	-2.64678325310658	0.0478630329804894
TSR1	-3.87293354869027	0.006821937562378
RAD59	1.06507116502538	0.399082766331732
USO1	-0.285842559634857	0.809387142688566
MBP1	0.177342588827928	0.881252539183088
PSA1	-2.58701093236387	0.0518308490420217
MCH1	0.111826123592194	0.925581312479731
PBP4	-0.0635368945945879	0.95734811029655
SLC1	-0.00866612979692838	0.99416700327809
LHP1	-2.78516079629067	0.0395978217399764
KNH1	-2.33765227419969	0.0904042760296991
STP4	-2.6451188802419	0.0487484615630104
SIT4	-0.709651760254512	0.553945644982836
NPC2	0.186739998911669	0.874281427813321
MRP10	0.362955274783039	0.761712328920473
FAD1	-0.657752580011554	0.587114105233594
MTF2	0.259064506508737	0.83213196428299
PRP11	-1.01041966604212	0.416701907699776
SIR2	-1.61834343699012	0.207908379046382
NAT1	-1.40122359296608	0.258315133616849
PRM7	-3.03841744738099	0.0263782617294417
BSC1	-2.955989299122	0.0305964244787064
PUS9	-1.24272167448407	0.3174542087432
GPR1	0.899633284860869	0.455965999702157
SLM3	0.138380772939446	0.90968672225577
DBP10	-2.85499436987604	0.0353717664566172
PRP9	-0.914132409552057	0.458084538283616
ARP2	-0.118329702598621	0.919991011763574
MPS1	0.499461055590828	0.676963052823388
RTK1	1.70385495590525	0.17817593875287
DIA3	3.0670476293452	0.0286894900289717
GPD1	2.33532188574647	0.0747293470114249
GPM2	3.65665650421167	0.00991489688635874
RPN4	2.35282377697184	0.0729754710853643
OSH2	2.36649460933045	0.0716475819065975
ERP3	0.488915065468576	0.686500435384079
CDC7	0.780662567886795	0.52071924369104
TSC13	-0.152981403675255	0.896656060362563
NOP1	-4.34151940432458	0.00289417458538937
SLX5	0.578284390118099	0.629686069665352
GRX6	1.32574401537625	0.290189046636912
APC11	-0.327748856380606	0.788052478764738
RPT2	-0.158884978529449	0.892718611189093
