Gene	logFC
TLG2	0.632268215
ATP11	0.659924558
YET2	0.516015147
SRP68	-0.785875195
SFP1	-0.395928676
TPN1	1.03562391
YRO2	0.731183242
PSF2	0.790772038
APL3	0.807354922
TIF2	-1.395928676
ARA2	1.361768359
HUT1	-0.810966176
XBP1	
NUG1	-3.058893689
PRP6	-0.251538767
RAX2	0.333423734
YAP1801	1.304511042
TFC3	0.485426827
VMS1	0.070389328
CPR5	-0.104697379
PGK1	0.378511623
AAD10	
PHA2	-0.268816758
RPS17A	-2.556393349
SPG4	1.422233001
FLD1	
COX4	0.86393845
GRR1	-0.120294234
MRPL16	0.40053793
THI11	0.669026766
YUR1	0.056583528
YML6	0.214124805
PAC2	-0.321928095
RAD50	0.5360529
PEP12	1.618238656
URA7	
ARP6	0.028569152
FMP45	-0.152003093
JEM1	-0.058893689
SEC3	0.622930351
HNT2	0.59454855
NRD1	0.773996325
ARG80	-0.286304185
ILV2	0.201633861
DUS4	-1.358453971
JSN1	0.790772038
SMC3	-0.304006187
POL4	
MPC2	0.871843649
VPS8	0.176322773
RBD2	0.097610797
RPS18B	-2.64385619
RPL31B	
CYC2	
PFS2	
MUM2	
PAU7	0.124328135
SNU56	-0.434402824
HBT1	4.392317423
IXR1	-0.321928095
MRPL17	0.163498732
TCO89	-0.104697379
HIR2	-0.666576266
MTW1	-0.286304185
HXT14	
MCM1	-0.621488377
RPP0	
CIT1	2.784503983
DPH1	-0.862496476
MYO5	0.378511623
RPS26A	-1.736965594
APQ13	0.070389328
SMC4	0.298658316
SOL3	0.516015147
EFB1	-2.473931188
SHQ1	0.111031312
NTF2	-0.120294234
UBP14	0.097610797
CSF1	
DNA2	-0.184424571
BUD4	-0.395928676
WHI4	0.389566812
CUE3	0.014355293
HXT16	0.895302621
CTI6	-0.377069649
IOC4	-0.074000581
SPO77	0.189033824
ATO2	-0.689659879
YOX1	0.545968369
FIP1	-0.268816758
BUD26	
TRK2	
GAL4	0.056583528
SLM1	-0.217591435
TTI1	-0.473931188
PMT7	0.5360529
TEX1	0.659924558
BLS1	1.384049807
CKB2	
AKL1	0.847996907
PRP8	-0.234465254
SSA1	-1
NET1	-0.395928676
SRB7	-0.395928676
RTC4	-0.01449957
SOR1	
FKS1	0.678071905
RPC34	-1.785875195
ADE4	1.232660757
TSA1	
IME1	-0.043943348
ICS3	0.176322773
CWH43	
RTT10	-2.556393349
AMD2	4.236492618
GAA1	0.475084883
SHS1	0.344828497
GYP5	0.879705766
TUL1	1.427606173
NSA1	-2.556393349
UTP21	-1.358453971
DHH1	0.250961574
PRP28	0.613531653
ALT1	3.295723025
CDC23	0.214124805
GCS1	0.669026766
MRS4	0.22650853
GIC2	1.014355293
